kernel,shape,M,N,K,variant,ms,gflops,occMaxThreads,sharedBytes,wgSize,golden
regGen,QKV-KV,262,1024,2816,TM4xTN1_sg2x2_BK32,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,5120,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN1_sg2x2_BK64,1.000000,1510.998016,maxThreads=1024 execWidth=32 tgMem=0,10240,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg2x2_BK16,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,3072,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg2x2_BK32,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,6144,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg2x2_BK64,1.266667,1192.893171,maxThreads=1024 execWidth=32 tgMem=0,12288,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg2x2_BK16,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,4096,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg2x2_BK32,0.933333,1618.926446,maxThreads=1024 execWidth=32 tgMem=0,8192,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg2x2_BK64,1.466667,1030.225920,maxThreads=1024 execWidth=32 tgMem=0,16384,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN1_sg2x2_BK16,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,4608,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN1_sg2x2_BK32,0.933333,1618.926446,maxThreads=1024 execWidth=32 tgMem=0,9216,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN1_sg2x2_BK64,2.400000,629.582507,maxThreads=1024 execWidth=32 tgMem=0,18432,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN2_sg2x2_BK16,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,5120,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN2_sg2x2_BK32,0.966667,1563.101396,maxThreads=1024 execWidth=32 tgMem=0,10240,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN2_sg2x2_BK64,1.966667,768.304076,maxThreads=1024 execWidth=32 tgMem=0,20480,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN4_sg2x2_BK16,1.500000,1007.332011,maxThreads=1024 execWidth=32 tgMem=0,6144,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN4_sg2x2_BK32,1.333333,1133.248512,maxThreads=1024 execWidth=32 tgMem=0,12288,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN4_sg2x2_BK64,2.500000,604.399206,maxThreads=1024 execWidth=32 tgMem=0,24576,128,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN1_sg2x4_BK16,0.400000,3777.495040,maxThreads=1024 execWidth=32 tgMem=0,1536,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN1_sg2x4_BK32,0.366667,4120.903680,maxThreads=1024 execWidth=32 tgMem=0,3072,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN1_sg2x4_BK64,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,6144,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN2_sg2x4_BK16,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,2560,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN2_sg2x4_BK32,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,5120,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN2_sg2x4_BK64,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,10240,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN4_sg2x4_BK16,0.800000,1888.747520,maxThreads=1024 execWidth=32 tgMem=0,4608,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN4_sg2x4_BK32,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,9216,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN4_sg2x4_BK64,0.900000,1678.886684,maxThreads=1024 execWidth=32 tgMem=0,18432,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN1_sg2x4_BK16,0.333333,4532.994048,maxThreads=1024 execWidth=32 tgMem=0,2048,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN1_sg2x4_BK32,0.800000,1888.747520,maxThreads=1024 execWidth=32 tgMem=0,4096,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN1_sg2x4_BK64,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,8192,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN2_sg2x4_BK16,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,3072,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN2_sg2x4_BK32,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,6144,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN2_sg2x4_BK64,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,12288,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN4_sg2x4_BK16,0.433333,3486.918498,maxThreads=1024 execWidth=32 tgMem=0,5120,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN4_sg2x4_BK32,0.566667,2666.467087,maxThreads=1024 execWidth=32 tgMem=0,10240,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN4_sg2x4_BK64,0.900000,1678.886684,maxThreads=1024 execWidth=32 tgMem=0,20480,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN1_sg2x4_BK16,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,3072,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN1_sg2x4_BK32,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,6144,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN1_sg2x4_BK64,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,12288,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg2x4_BK16,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,4096,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg2x4_BK32,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,8192,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg2x4_BK64,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,16384,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg2x4_BK16,0.800000,1888.747520,maxThreads=1024 execWidth=32 tgMem=0,6144,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg2x4_BK32,0.966667,1563.101396,maxThreads=1024 execWidth=32 tgMem=0,12288,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg2x4_BK64,1.433333,1054.184662,maxThreads=1024 execWidth=32 tgMem=0,24576,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN1_sg2x4_BK16,0.900000,1678.886684,maxThreads=1024 execWidth=32 tgMem=0,5120,256,PASS
